Name,FIPS,"# Total Population, 2023 [Estimated]","Median Household Income, 2023 [Estimated]","# Housing Occupancy Status | Occupied, 2023 [Estimated]","# Vehicles Available | Occupied housing units, 2023 [Estimated]","# Vehicles Available | No vehicle available, 2023 [Estimated]","% Transportation to Work | Car, truck, or van, 2023 [Estimated]","% Transportation to Work | Public transportation, 2023 [Estimated]","% Transportation to Work | Bicycle, 2023 [Estimated]","% Transportation to Work | Walked, 2023 [Estimated]"
"BG5169001, Wayne County, MI",261635169001,1301,30075.893152594,829,829,241,50.4373,5.6851,0,21.2828
"BG5316002, Wayne County, MI",261635316002,1286,24513.694598924,492,492,190,63.3495,16.7476,0,0
"BG5358001, Wayne County, MI",261635358001,1286,18441.950894652,386,386,154,100,0,0,0
"BG5036001, Wayne County, MI",261635036001,1284,34551.6,780,780,140,88.0987,10.7402,0,0.8708
"BG5262003, Wayne County, MI",261635262003,1279,45464.944628163,225,225,8,96.2054,0,0,1.1161
"BG5313001, Wayne County, MI",261635313001,1274,18159.503446887,612,612,240,89.3333,0,0,3.5556
"BG5394003, Wayne County, MI",261635394003,1271,53984.136695217,592,592,0,87.457,4.811,0,0
"BG5173002, Wayne County, MI",261635173002,1269,71328.299733251,655,655,33,64.4231,3.7393,0.9615,6.6239
"BG5404002, Wayne County, MI",261635404002,1263,12877.904266551,721,721,305,85.0318,14.0127,0,0
"BG5137002, Wayne County, MI",261635137002,1259,114807.28411487,533,533,0,71.0021,0,0,0
"BG5052001, Wayne County, MI",261635052001,1255,31668.618385197,509,509,50,82.4786,7.265,0,0
"BG5166001, Wayne County, MI",261635166001,1252,12107.374768453,324,324,138,65.4206,33.6449,0.9346,0
"BG5441001, Wayne County, MI",261635441001,1251,15093.394530529,473,473,58,84.4937,8.5443,0,0
"BG5001001, Wayne County, MI",261635001001,1250,51251.365072409,399,399,33,96.0843,4.2169,,0
"BG5071001, Wayne County, MI",261635071001,1247,,634,634,118,92.8767,4.3836,0,0
"BG5032002, Wayne County, MI",261635032002,1244,43280.984129631,545,545,66,97.2556,2.5729,0,0
"BG5114001, Wayne County, MI",261635114001,1230,17969.2,533,533,56,76.2791,13.9535,0,5.814
"BG5219005, Wayne County, MI",261635219005,1229,13267.346208793,628,628,309,72.1519,26.5823,0,0
"BG5240012, Wayne County, MI",261635240012,1229,19339.314131426,426,426,49,81.1798,0,0,8.9888
"BG5364002, Wayne County, MI",261635364002,1226,20792.159385878,356,356,115,61.7284,33.7449,0,0
"BG5067001, Wayne County, MI",261635067001,1220,53308.352503264,386,386,23,56.9492,16.2712,0,0
"BG5433003, Wayne County, MI",261635433003,1207,83356.060229703,368,368,29,93.2075,1.1321,0,0
"BG5008002, Wayne County, MI",261635008002,1203,28190.245532615,464,464,149,85.558,14.2232,0,0
"BG5434001, Wayne County, MI",261635434001,1200,63335.136658729,342,342,40,94.6785,0,0,0
"BG5254002, Wayne County, MI",261635254002,1192,34619.362646779,292,292,37,83.6538,0,3.8462,1.9231
"BG5422002, Wayne County, MI",261635422002,1186,38569.394717648,526,526,120,66.0177,3.0088,0,3.8938
"BG5433001, Wayne County, MI",261635433001,1183,51835,424,424,20,85.8228,0,0,0
"BG5233001, Wayne County, MI",261635233001,1181,92614.394550094,382,382,73,98.1651,0,0,0
"BG5248002, Wayne County, MI",261635248002,1181,55481.870695429,396,396,35,97.9245,0,0,0
"BG5168001, Wayne County, MI",261635168001,1180,29466.433582656,231,231,76,78.3981,20.6311,0,0
"BG5012001, Wayne County, MI",261635012001,1179,31407.597037314,428,428,144,76.298,20.316,0,0.4515
"BG5032001, Wayne County, MI",261635032001,1173,45316.551383602,451,451,0,96.0289,2.3466,1.083,0.5415
"BG5352002, Wayne County, MI",261635352002,1172,20546.6,402,402,167,63.3987,27.451,0,0
"BG5220001, Wayne County, MI",261635220001,1170,16011.217817439,603,603,399,34.1137,39.7993,2.0067,2.3411
"BG5157001, Wayne County, MI",261635157001,1163,52592.317843821,782,782,121,89.6552,0,3.8793,6.4655
"BG5173001, Wayne County, MI",261635173001,1157,10623.715125403,650,650,440,41.0072,58.9928,,12.2302
"BG5260002, Wayne County, MI",261635260002,1154,36914.212017766,480,480,306,86.3946,0,0,8.8435
"BG5401003, Wayne County, MI",261635401003,1153,17032.153037424,537,537,28,70.0599,17.3653,0,11.6766
"BG5016002, Wayne County, MI",261635016002,1148,42493.235430826,353,353,39,82.5858,0,0,17.1504
"BG5386003, Wayne County, MI",261635386003,1148,65209.197953768,472,472,84,69.0519,0,0,0
"BG5157002, Wayne County, MI",261635157002,1144,52796.751228442,1043,1043,1,70.9234,0,0,2.3576
"BG5014001, Wayne County, MI",261635014001,1140,54270.2,427,427,74,91.9918,0.8214,0,0
"BG5112001, Wayne County, MI",261635112001,1139,15572.357269474,693,693,38,90.678,0,0,1.9774
"BG5225001, Wayne County, MI",261635225001,1136,13358.862657389,371,371,228,45.6432,22.8216,0,7.4689
"BG5452002, Wayne County, MI",261635452002,1135,32198.879974271,176,176,14,0,0,0,0
"BG5470001, Wayne County, MI",261635470001,1135,38948.312142328,483,483,47,81.6377,5.2109,0,0
"BG5365001, Wayne County, MI",261635365001,1134,60162.791307469,323,323,12,98.3051,0,0,0
"BG5456002, Wayne County, MI",261635456002,1132,30950.171504014,397,397,14,93.9799,0,0,0
"BG5326002, Wayne County, MI",261635326002,1121,32571.790736465,638,638,255,11.9328,22.521,0,19.8319
"BG5154002, Wayne County, MI",261635154002,1119,87195.426567657,522,522,33,66.7133,4.6154,0.1399,6.4336
"BG5261001, Wayne County, MI",261635261001,1118,19363.060560258,179,179,47,97.9452,0,0,0
"BG5175001, Wayne County, MI",261635175001,1113,15774.6,657,657,437,1.5228,6.3452,2.2843,71.066
"BG5019002, Wayne County, MI",261635019002,1111,34848.149081034,378,378,26,87.5648,0,0,0
"BG5350002, Wayne County, MI",261635350002,1111,57461.168215886,259,259,10,,0,,0
"BG5431002, Wayne County, MI",261635431002,1108,86830.6,394,394,1,94.8333,0,0,0
"BG5471002, Wayne County, MI",261635471002,1108,40098.113595119,405,405,18,86.8195,0,0,0
"BG5264001, Wayne County, MI",261635264001,1106,60589.095976309,228,228,34,96.9977,0,0,0
"BG5065002, Wayne County, MI",261635065002,1102,41333.804145032,314,314,79,72.479,23.5294,0,3.1513
"BG5057003, Wayne County, MI",261635057003,1097,47117.048533829,260,260,19,91.7411,0,0,0
"BG5170002, Wayne County, MI",261635170002,1097,66826.448558566,559,559,30,72.0513,6.0256,4.8718,3.3333
"BG5431001, Wayne County, MI",261635431001,1097,48256.778151649,499,499,0,64.2473,0,7.5269,1.8817
"BG5363003, Wayne County, MI",261635363003,1096,56972.684676593,369,369,18,92.0195,0.9772,0,0
"BG5363001, Wayne County, MI",261635363001,1095,31168.197705545,325,325,0,75,0,0,0
"BG5334003, Wayne County, MI",261635334003,1080,11400.1,436,436,244,32.2493,67.4797,0,0
"BG5348002, Wayne County, MI",261635348002,1080,40141.6,406,406,33,48.8372,14.6179,7.309,0
"BG5358005, Wayne County, MI",261635358005,1078,35234.762708659,489,489,184,54.2105,0,0,25.7895
"BG5390002, Wayne County, MI",261635390002,1069,28765.741665938,539,539,68,65.625,24.0809,0,2.0221
"BG5138002, Wayne County, MI",261635138002,1068,35553.895321459,506,506,101,45.3933,10.7865,2.2472,17.3034
"BG5233002, Wayne County, MI",261635233002,1062,36729.706939737,243,243,0,89.916,0,0,0
"BG5387001, Wayne County, MI",261635387001,1060,26181.860484678,656,656,141,64.7754,21.2766,0,0
"BG5467002, Wayne County, MI",261635467002,1052,40543.2358866,356,356,33,72.5301,0,10.3614,0
"BG5223001, Wayne County, MI",261635223001,1051,12274.8,653,653,268,51.3966,20.6704,1.1173,0
"BG5414003, Wayne County, MI",261635414003,1047,43492.790503842,288,288,16,100,0,0,0
"BG5311001, Wayne County, MI",261635311001,1046,15874.396127756,526,526,251,34.9911,36.4121,0,18.4725
"BG5358004, Wayne County, MI",261635358004,1046,21331.2,278,278,62,100,0,0,0
"BG5411001, Wayne County, MI",261635411001,1046,46660.600861834,488,488,156,79.3548,11.2903,0,0.9677
"BG5303001, Wayne County, MI",261635303001,1045,22830.809193695,213,213,0,78,12.5714,0,2.5714
"BG5414002, Wayne County, MI",261635414002,1045,74736.626485676,537,537,0,59.1503,0,0,0
"BG5314001, Wayne County, MI",261635314001,1038,35613.618966432,229,229,20,82.7848,0,0,0
"BG5347002, Wayne County, MI",261635347002,1036,34345.698057866,443,443,70,74.7851,34.0974,,0
"BG5263002, Wayne County, MI",261635263002,1034,31162,364,364,91,85.4545,0,0,0
"BG5344002, Wayne County, MI",261635344002,1030,19616.4,364,364,203,26.5233,40.1434,0,2.8674
"BG5472002, Wayne County, MI",261635472002,1027,19986.502023405,263,263,149,51.3228,0,0,0
"BG5403003, Wayne County, MI",261635403003,1015,20436.014582753,396,396,67,0,14.2857,0,9.1837
"BG5013002, Wayne County, MI",261635013002,1009,33618.647800155,281,281,59,85.6808,0,1.6432,0
"BG5002001, Wayne County, MI",261635002001,1004,75163.830814114,446,446,0,99.8016,0,0,0
"BG5056003, Wayne County, MI",261635056003,1001,40516,440,440,66,89.5879,10.4121,0,0
"BG5231001, Wayne County, MI",261635231001,976,12962.434698383,674,674,87,,0,,0
"BG5137003, Wayne County, MI",261635137003,975,20213.723536493,505,505,231,85.0136,0,0,0
"BG5409002, Wayne County, MI",261635409002,973,60571.764920651,370,370,0,70.1449,0,0,0
"BG5413002, Wayne County, MI",261635413002,969,43097.401394744,565,565,213,63.1485,3.3989,0,0.7156
"BG5309003, Wayne County, MI",261635309003,967,35576.701244095,305,305,103,83.6461,20.9115,,0
"BG5016001, Wayne County, MI",261635016001,964,35088.8,391,391,92,80.5226,11.1639,0,0
"BG5341002, Wayne County, MI",261635341002,961,33258.05615577,498,498,112,,5.1948,,0
"BG5343001, Wayne County, MI",261635343001,961,35612.60437483,384,384,34,64.9758,17.3913,0,5.314
"BG5382002, Wayne County, MI",261635382002,961,137164.36247905,306,306,13,77.1513,0,0,7.1217
"BG5382001, Wayne County, MI",261635382001,960,133664.0496252,364,364,10,83.2168,0,0,0
"BG5152001, Wayne County, MI",261635152001,959,20408.793559611,276,276,43,63.1579,0,0,0
"BG5033002, Wayne County, MI",261635033002,954,37957.8,570,570,210,74.5303,0,0,9.3946
"BG5439001, Wayne County, MI",261635439001,953,26620.71591627,539,539,108,70.9677,15.5425,0,3.2258
"BG5040001, Wayne County, MI",261635040001,952,30644.5529047,230,230,63,84.6154,0,0,0
"BG5430001, Wayne County, MI",261635430001,950,83161.348917627,250,250,10,80.0718,0,0,0
"BG5409001, Wayne County, MI",261635409001,948,26541.850234258,333,333,9,99.4819,0,0,0
"BG5417002, Wayne County, MI",261635417002,948,30916.501823119,553,553,32,82.5112,9.417,0,0.6726
"BG5408001, Wayne County, MI",261635408001,946,57528.452518291,485,485,43,85.5856,0,0,0
"BG5434003, Wayne County, MI",261635434003,946,43661.9,346,346,65,94.8905,1.4599,0,0
"BG5064002, Wayne County, MI",261635064002,944,,0,0,0,0,0,0,0
"BG5406001, Wayne County, MI",261635406001,944,40259.707177257,242,242,15,87.3016,0,0,0
"BG5043003, Wayne County, MI",261635043003,938,51362.310840663,229,229,15,81.3665,13.0435,0,0
"BG5407003, Wayne County, MI",261635407003,930,58677.685021989,404,404,194,15,16,0,0
"BG5228001, Wayne County, MI",261635228001,928,30866.571428571,362,362,113,88.1356,0,0,0
"BG5232003, Wayne County, MI",261635232003,928,43378.564109837,243,243,45,87.9032,0,0,0
"BG5405003, Wayne County, MI",261635405003,925,28896.8,438,438,88,89.5939,10.4061,,0
"BG5395001, Wayne County, MI",261635395001,924,135651.09947677,383,383,99,58.6538,41.1058,0,0
"BG5164001, Wayne County, MI",261635164001,921,48013.621967894,438,438,123,80.6854,0,0.9346,0
"BG5351002, Wayne County, MI",261635351002,919,32397.612838012,423,423,60,80.8989,15.7303,0,0.3745
"BG5385004, Wayne County, MI",261635385004,919,70341.5373756,270,270,58,68.1234,5.1414,0,0
"BG5193002, Wayne County, MI",261635193002,917,52579.739386989,234,234,56,85.5932,7.2034,0,7.2034
"BG5418001, Wayne County, MI",261635418001,915,35606.510191979,507,507,58,84.7328,7.1247,0,0
"BG5394002, Wayne County, MI",261635394002,912,14817.487279261,452,452,112,78.3333,0,0,5.5556
"BG5254001, Wayne County, MI",261635254001,908,29492.774983932,327,327,60,94.4444,3.4722,0,0
"BG5381002, Wayne County, MI",261635381002,906,89840.676339954,399,399,0,66.8076,1.4799,0,5.9197
"BG5470003, Wayne County, MI",261635470003,906,34407.79867835,442,442,72,81.8947,8.8421,0,0
"BG5375003, Wayne County, MI",261635375003,894,13433.284176731,462,462,51,45.6432,23.2365,0,0
"BG5315012, Wayne County, MI",261635315012,893,33071.639573728,438,438,3,85.2423,3.304,0,0
"BG5259002, Wayne County, MI",261635259002,892,27750.658386275,243,243,23,90.7583,0,0,0
"BG5057004, Wayne County, MI",261635057004,891,20188.11049913,339,339,77,54.8,3.6,11.2,0
"BG5081002, Wayne County, MI",261635081002,885,25168.056274848,170,170,0,98.5965,0.3509,0,0
"BG5238003, Wayne County, MI",261635238003,881,35650.714285714,212,212,26,,0,,0
"BG5331002, Wayne County, MI",261635331002,881,25417.831468857,306,306,124,64.4444,12.2222,0,10
"BG5448002, Wayne County, MI",261635448002,878,26959.95193268,446,446,37,82.3377,3.8961,0,0
"BG5191001, Wayne County, MI",261635191001,871,34874.041987444,280,280,64,76.5027,0,,26.2295
"BG5361001, Wayne County, MI",261635361001,870,29511.4,154,154,42,81.9444,17.3611,0,0
"BG5348003, Wayne County, MI",261635348003,869,21819.6,366,366,128,35.4839,55.6452,0,0
"BG5166003, Wayne County, MI",261635166003,868,35367.053753987,696,696,190,47.7273,9.0909,0,18.0195
"BG5257004, Wayne County, MI",261635257004,868,38213.6,381,381,18,85.7143,0,,15.5052
"BG5035001, Wayne County, MI",261635035001,866,39436.2,242,242,63,88.9849,11.6631,,0
"BG5224001, Wayne County, MI",261635224001,865,,671,671,205,25,0,0,0
"BG5373003, Wayne County, MI",261635373003,865,32703.6,422,422,23,60.2374,11.5727,0,0
"BG5167003, Wayne County, MI",261635167003,864,39433.884741415,461,461,0,,0,,0
"BG5305002, Wayne County, MI",261635305002,864,37665.804555781,377,377,90,0,30.7692,0,0
"BG5338001, Wayne County, MI",261635338001,861,33542.587913938,287,287,54,69.3122,27.5132,0,0
"BG5376003, Wayne County, MI",261635376003,861,22652.866782267,534,534,109,21.3592,0,0,12.6214
"BG5017001, Wayne County, MI",261635017001,859,28723.265153932,472,472,92,65.5367,1.1299,2.2599,11.0169
"BG5342001, Wayne County, MI",261635342001,859,19131.017352845,232,232,0,40.678,17.7966,0,8.4746
"BG5133001, Wayne County, MI",261635133001,857,48870.51810667,556,556,54,77.6699,0.7282,0,0
"BG5430002, Wayne County, MI",261635430002,856,67122.330399151,337,337,0,71.5789,0,0,0
"BG5367001, Wayne County, MI",261635367001,855,37760.801621472,418,418,53,,0,,0
"BG5304002, Wayne County, MI",261635304002,854,17647.708649114,263,263,151,68.3398,12.3552,0,0
"BG5330002, Wayne County, MI",261635330002,841,72447.965779206,287,287,35,87.0229,5.598,1.2723,0
"BG5321001, Wayne County, MI",261635321001,840,58160.44550928,382,382,67,79.2553,0.7979,0,6.9149
"BG5141002, Wayne County, MI",261635141002,839,25366.317894696,356,356,108,89.3836,9.2466,0,0
"BG5330001, Wayne County, MI",261635330001,830,8351.208804146,350,350,98,36.7816,33.908,0,8.046
"BG5041002, Wayne County, MI",261635041002,829,38959.908217862,423,423,33,86.7308,13.0769,0,0
"BG5081001, Wayne County, MI",261635081001,829,30422.250810485,250,250,80,69.1244,0,0,0
"BG5242001, Wayne County, MI",261635242001,825,21864.207994473,368,368,31,,0,,0
"BG5003001, Wayne County, MI",261635003001,817,41183.777025585,410,410,47,96.2264,3.7736,0,0
"BG5305001, Wayne County, MI",261635305001,817,26158.4,410,410,33,90.1899,1.2658,0,0
"BG5279004, Wayne County, MI",261635279004,814,51633.850845223,221,221,82,84.9265,2.9412,0,0
"BG5247002, Wayne County, MI",261635247002,811,28764.596033511,609,609,308,76.1755,23.511,0,0
"BG5336002, Wayne County, MI",261635336002,809,29778.050173983,415,415,102,68.7719,17.5439,0,0
"BG5344001, Wayne County, MI",261635344001,809,20106.6,344,344,104,26.0563,28.8732,0,0
"BG5363002, Wayne County, MI",261635363002,809,39863.946626888,293,293,44,96.063,0,,14.9606
"BG5425002, Wayne County, MI",261635425002,808,39005.4,412,412,82,76.4706,3.6765,0,0
"BG5211001, Wayne County, MI",261635211001,807,39709.830668144,450,450,324,51.6755,0,2.2928,44.6208
"BG5423001, Wayne County, MI",261635423001,806,16009,302,302,30,29.1045,0,0,0
"BG5054001, Wayne County, MI",261635054001,803,31345.589858034,249,249,134,61.7778,42.2222,,1.7778
"BG5243001, Wayne County, MI",261635243001,803,56875.182217297,353,353,60,69.2168,2.0036,0.3643,0
"BG5106002, Wayne County, MI",261635106002,801,33240,325,325,108,,0,,0
"BG5215002, Wayne County, MI",261635215002,793,25971.719285724,299,299,51,74.1818,8.3636,0,4.3636
"BG5353002, Wayne County, MI",261635353002,792,26164.8,496,496,141,50.4,36.8,0,0
"BG5241011, Wayne County, MI",261635241011,789,26504.789280213,546,546,102,44.6281,28.0992,,29.7521
"BG5383002, Wayne County, MI",261635383002,787,27026.624325178,617,617,44,77.2901,0,8.0153,4.9618
"BG5247003, Wayne County, MI",261635247003,786,44895.6,180,180,0,100,0,0,0
"BG5279003, Wayne County, MI",261635279003,785,10322.173716561,211,211,66,99.1525,0,0,0
"BG5044002, Wayne County, MI",261635044002,782,35831.038389263,228,228,31,,0,,0
"BG5203002, Wayne County, MI",261635203002,779,83480.345823,601,601,73,82.0302,0.9602,0,5.6241
"BG5353003, Wayne County, MI",261635353003,779,32842.946285059,333,333,16,100,0,0,0
"BG5172002, Wayne County, MI",261635172002,777,73412.889664103,585,585,261,18.1818,0,0,51.1364
"BG5433002, Wayne County, MI",261635433002,777,50622.633881127,209,209,35,87.9412,0,0,5.2941
"BG5302003, Wayne County, MI",261635302003,774,,0,0,0,46.0581,1.8672,2.6971,26.1411
"BG5403002, Wayne County, MI",261635403002,774,45685.995356878,324,324,0,90.404,0,0,9.3434
"BG5358002, Wayne County, MI",261635358002,773,27388.4,229,229,60,97.3094,6.7265,,0
"BG5402002, Wayne County, MI",261635402002,773,24283.966297979,309,309,0,75.6881,0,,28.4404
"BG5401002, Wayne County, MI",261635401002,771,36731.233799757,255,255,5,94.7214,3.5191,0,0
"BG5386002, Wayne County, MI",261635386002,768,50186.4,332,332,51,92.4939,0,0,0
"BG5442002, Wayne County, MI",261635442002,765,12849.4,409,409,187,89.9371,9.434,0,0
"BG5139002, Wayne County, MI",261635139002,758,38858.584407948,228,228,22,58.5366,39.3293,0.6098,0.9146
"BG5435001, Wayne County, MI",261635435001,753,37286.088473121,298,298,83,,0,,0
"BG5443001, Wayne County, MI",261635443001,749,25934.084573086,460,460,37,73.065,0,0,0
"BG5192003, Wayne County, MI",261635192003,747,9603.9504716805,234,234,51,46.5116,20.9302,0,0
"BG5377002, Wayne County, MI",261635377002,741,21484.492342274,280,280,76,23.1884,49.2754,0,0
"BG5075001, Wayne County, MI",261635075001,740,16390.254454463,252,252,33,84.6154,0,0,0
"BG5332001, Wayne County, MI",261635332001,739,27521.835705995,221,221,13,54.5455,17.1717,18.6869,0
"BG5370003, Wayne County, MI",261635370003,738,22098.86853639,443,443,76,48.927,24.4635,0,8.1545
"BG5259003, Wayne County, MI",261635259003,735,34387.174919834,292,292,39,96.6408,0,0,3.1008
"BG5259001, Wayne County, MI",261635259001,730,39176,122,122,0,85.8871,2.4194,0,0
"BG5058001, Wayne County, MI",261635058001,725,30793.646950317,243,243,0,67.0659,32.3353,0,0
"BG5339003, Wayne County, MI",261635339003,724,36205.543905539,519,519,116,54.3578,20.4128,3.8991,0
"BG5128003, Wayne County, MI",261635128003,723,18138.466345548,198,198,140,24.1379,25.8621,0,0
"BG5065001, Wayne County, MI",261635065001,718,39805.072520001,318,318,55,,0,,0
"BG5137001, Wayne County, MI",261635137001,718,24785.674221261,579,579,179,44.9541,61.4679,,0
"BG5257001, Wayne County, MI",261635257001,712,43136.004847601,209,209,40,84.6535,0,,17.5743
"BG5119002, Wayne County, MI",261635119002,709,41812.863227333,268,268,57,91.1007,0,2.5761,0.4684
"BG5132002, Wayne County, MI",261635132002,709,37339.672175017,312,312,109,97.3262,0,0,0
"BG5317002, Wayne County, MI",261635317002,709,8622.5000641272,432,432,176,2.4691,17.284,0,79.0123
"BG5358003, Wayne County, MI",261635358003,706,30433.744495401,299,299,0,41.7112,0,0,0
